x-axis,1,2,3
second,Volt,Volt,Volt
+9.8083200E-03,+971.1059E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8084800E-03,+971.1059E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8086400E-03,+971.1059E-06,-1.0916456971E+00,+1.7126413299E+00
+9.8088000E-03,+971.1059E-06,-1.0916456971E+00,+1.7127669580E+00
+9.8089600E-03,+757.5380E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8091200E-03,+782.6637E-06,-1.0916456971E+00,+1.7126413299E+00
+9.8092800E-03,+757.5380E-06,-1.0809673053E+00,+1.7127669580E+00
+9.8094400E-03,+782.6637E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8096000E-03,+543.9702E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8097600E-03,+594.2215E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8099200E-03,+971.1059E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8100800E-03,+757.5380E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8102400E-03,+782.6637E-06,-1.0916456971E+00,+1.7126413299E+00
+9.8104000E-03,+971.1059E-06,-1.0809673053E+00,+1.7127669580E+00
+9.8105600E-03,+757.5380E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8107200E-03,+569.0958E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8108800E-03,+569.0958E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8110400E-03,+782.6637E-06,-1.0809673053E+00,+1.7137091691E+00
+9.8112000E-03,+971.1059E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8113600E-03,+971.1059E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8115200E-03,+1.1846737E-03,-1.0809673053E+00,+1.7137091691E+00
+9.8116800E-03,+1.1595481E-03,-1.0822235867E+00,+1.7137091691E+00
+9.8118400E-03,+1.1846737E-03,-1.0916456971E+00,+1.7126413299E+00
+9.8120000E-03,+1.1595481E-03,-1.0916456971E+00,+1.7127669580E+00
+9.8121600E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8123200E-03,+971.1059E-06,-1.0809673053E+00,+1.7126413299E+00
+9.8124800E-03,+971.1059E-06,-1.0822235867E+00,+1.7127669580E+00
+9.8126400E-03,+757.5380E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8128000E-03,+782.6637E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8129600E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8131200E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8132800E-03,+971.1059E-06,-1.0809673053E+00,+1.7137091691E+00
+9.8134400E-03,+543.9702E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8136000E-03,+594.2215E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8137600E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8139200E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8140800E-03,+971.1059E-06,-1.0809673053E+00,+1.7137091691E+00
+9.8142400E-03,+971.1059E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8144000E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8145600E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8147200E-03,+971.1059E-06,-1.0809673053E+00,+1.7137091691E+00
+9.8148800E-03,+971.1059E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8150400E-03,+757.5380E-06,-1.0916456971E+00,+1.7147770083E+00
+9.8152000E-03,+782.6637E-06,-1.0916456971E+00,+1.7146513801E+00
+9.8153600E-03,+971.1059E-06,-1.0809673053E+00,+1.7137091691E+00
+9.8155200E-03,+757.5380E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8156800E-03,+782.6637E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8158400E-03,+757.5380E-06,-1.0916456971E+00,+1.7126413299E+00
+9.8160000E-03,+569.0958E-06,-1.0916456971E+00,+1.7127669580E+00
+9.8161600E-03,+782.6637E-06,-1.0916456971E+00,+1.7147770083E+00
+9.8163200E-03,+757.5380E-06,-1.0809673053E+00,+1.7146513801E+00
+9.8164800E-03,+569.0958E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8166400E-03,+782.6637E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8168000E-03,+757.5380E-06,-1.0916456971E+00,+1.7147770083E+00
+9.8169600E-03,+782.6637E-06,-1.0809673053E+00,+1.7146513801E+00
+9.8171200E-03,+757.5380E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8172800E-03,+782.6637E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8174400E-03,+757.5380E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8176000E-03,+782.6637E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8177600E-03,+757.5380E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8179200E-03,+782.6637E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8180800E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8182400E-03,+971.1059E-06,-1.0916456971E+00,+1.7147770083E+00
+9.8184000E-03,+757.5380E-06,-1.0916456971E+00,+1.7146513801E+00
+9.8185600E-03,+782.6637E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8187200E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8188800E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8190400E-03,+971.1059E-06,-1.0916456971E+00,+1.7147770083E+00
+9.8192000E-03,+971.1059E-06,-1.0916456971E+00,+1.7157192193E+00
