x-axis,1,2,3
second,Volt,Volt,Volt
+11.03443200E-03,+592.96569E-06,-680.68464659E-03,+71.03228621E-03
+11.03446400E-03,+819.09634E-06,-680.68464659E-03,+71.08253747E-03
+11.03449600E-03,+819.09634E-06,-680.68464659E-03,+70.76846712E-03
+11.03452800E-03,+643.21695E-06,-671.89067681E-03,+70.74334149E-03
+11.03456000E-03,+417.08630E-06,-669.37811408E-03,+70.68052742E-03
+11.03459200E-03,+417.08630E-06,-671.89067681E-03,+70.63027617E-03
+11.03462400E-03,+417.08630E-06,-669.37811408E-03,+70.59258773E-03
+11.03465600E-03,+417.08630E-06,-680.68464659E-03,+70.34133145E-03
+11.03468800E-03,+592.96569E-06,-680.68464659E-03,+70.63027617E-03
+11.03472000E-03,+819.09634E-06,-680.68464659E-03,+70.76846712E-03
+11.03475200E-03,+819.09634E-06,-680.68464659E-03,+70.74334149E-03
+11.03478400E-03,+819.09634E-06,-671.89067681E-03,+70.76846712E-03
+11.03481600E-03,+643.21695E-06,-678.17208386E-03,+70.91922089E-03
+11.03484800E-03,+417.08630E-06,-700.78514889E-03,+71.25841687E-03
+11.03488000E-03,+592.96569E-06,-691.99117910E-03,+70.99459777E-03
+11.03491200E-03,+643.21695E-06,-671.89067681E-03,+70.65540180E-03
+11.03494400E-03,+592.96569E-06,-669.37811408E-03,+70.74334149E-03
+11.03497600E-03,+819.09634E-06,-680.68464659E-03,+70.94434652E-03
+11.03500800E-03,+643.21695E-06,-671.89067681E-03,+70.88153245E-03
+11.03504000E-03,+417.08630E-06,-669.37811408E-03,+70.65540180E-03
+11.03507200E-03,+417.08630E-06,-680.68464659E-03,+70.47952240E-03
+11.03510400E-03,+417.08630E-06,-680.68464659E-03,+70.69309024E-03
+11.03513600E-03,+417.08630E-06,-680.68464659E-03,+71.08253747E-03
+11.03516800E-03,+417.08630E-06,-680.68464659E-03,+71.03228621E-03
+11.03520000E-03,+592.96569E-06,-680.68464659E-03,+70.90665807E-03
+11.03523200E-03,+819.09634E-06,-680.68464659E-03,+70.54233647E-03
+11.03526400E-03,+643.21695E-06,-680.68464659E-03,+70.74334149E-03
+11.03529600E-03,+592.96569E-06,-680.68464659E-03,+70.76846712E-03
+11.03532800E-03,+643.21695E-06,-689.47861638E-03,+70.65540180E-03
+11.03536000E-03,+592.96569E-06,-691.99117910E-03,+70.74334149E-03
+11.03539200E-03,+643.21695E-06,-680.68464659E-03,+70.68052742E-03
+11.03542400E-03,+417.08630E-06,-689.47861638E-03,+70.45439677E-03
+11.03545600E-03,+417.08630E-06,-691.99117910E-03,+70.54233647E-03
+11.03548800E-03,+592.96569E-06,-680.68464659E-03,+70.74334149E-03
+11.03552000E-03,+643.21695E-06,-680.68464659E-03,+70.59258773E-03
+11.03555200E-03,+417.08630E-06,-680.68464659E-03,+70.60515054E-03
+11.03558400E-03,+592.96569E-06,-680.68464659E-03,+70.96947214E-03
+11.03561600E-03,+819.09634E-06,-680.68464659E-03,+70.59258773E-03
